country,n_train,n_test,cfi_network,cfi_big_five,cfi_acquiescence,tli_network,tli_big_five,tli_acquiescence,rmsea_network,rmsea_big_five,rmsea_acquiescence,bic_network,bic_big_five,bic_acquiescence
MY,3165,3165,0.9724548003417134,0.7294318706063345,0.7912212254119435,0.9588501590470718,0.7154970313242572,0.7802800696989955,0.022488401610339725,0.05913136492375825,0.05196479627064678,447556.67398394685,456297.9435303461,453360.76845447154
NL,3456,3457,0.9822128530478597,0.746894361444808,0.7641542547478982,0.9731328544804292,0.7338588779140686,0.7517946409503224,0.021090327760338597,0.06637867114717012,0.06410296817187008,462154.9430341728,475715.2910161925,474512.3463107448
NO,3656,3656,0.9863565078617201,0.7456732658240892,0.7567656070537597,0.9785176377000091,0.7325748932485059,0.744018787492144,0.018803480536017544,0.06634348972442031,0.0649084545826463,500420.78173061047,514963.7620876994,514153.3303288953
NZ,2877,2877,0.9796708382602972,0.7448033220584978,0.7647361705082654,0.9692931897273294,0.7316601455121543,0.7524070522960697,0.0227372803456988,0.06721462012944004,0.06456397991101426,391951.5677162099,403024.00732366764,401848.2363268391
PH,4737,4737,0.9822114176696761,0.7114056947824353,0.7853410897849971,0.9676691196518594,0.6965424687626465,0.7740917826345546,0.019282258565690456,0.05907423313177567,0.050970060220901024,676285.4717577064,690269.4597298607,685343.025243982
PK,998,998,0.9121824848810074,0.7032596463933961,0.768316121697691,0.8804706044213713,0.6879768814007814,0.7561746126114016,0.035212567398325616,0.05689232822443276,0.05029210131197189,155137.15110120052,155876.3952918268,155057.2557338334
PL,1811,1811,0.9811782585932715,0.7465364760093125,0.7596477826032788,0.9720864004561229,0.7334825606106505,0.7470520048874711,0.02171322909472819,0.06709332343261844,0.06536301996521518,253697.2015773001,259910.17076459082,259425.38741543706
PT,975,975,0.9679831331003992,0.7414106206509687,0.7527562379767317,0.9582758915404138,0.7280927127016624,0.7397993054308387,0.026027425687752237,0.0664428274795535,0.06499678987330834,134175.81698505668,136901.77473804835,136687.6462744474
RO,1454,1455,0.9720190777738551,0.7339371493663831,0.759250351686616,0.9603738384658642,0.7202343416084286,0.7466337464055881,0.02484098157548256,0.06600471303449236,0.06281337522964174,204718.0542581087,209077.25475416813,208380.94800156943
RU,1270,1269,0.9675031002152601,0.7464178061364769,0.762106957232976,0.9547628383678336,0.7333577789847074,0.7496400537889996,0.025161837092762446,0.06108845334209342,0.05919391920306672,183926.55661228424,186627.6720907631,186292.47861490218
SE,3265,3265,0.9853240506816281,0.7392626957430863,0.7492825073809493,0.977442863343782,0.7258341650517431,0.7361435322522877,0.019690730660052266,0.06864778250483333,0.06734474579144975,451849.1735713529,465751.31237082847,465069.56312392146
SG,2401,2401,0.9783369002882268,0.7355666954048037,0.7605321208015928,0.9663659098264611,0.7219478127647078,0.7479826872697175,0.023555119711624883,0.06772649972306533,0.06447786684947601,327044.31258566485,335883.64869665116,334679.11435310123
TR,1032,1031,0.9431516537190245,0.7320960363574265,0.7610658329500418,0.9255195463163691,0.7182984073286245,0.748544368869245,0.03169146223738225,0.06163334932593175,0.058230671834268374,148540.37873359342,150422.12113632073,149934.67840393598
US,150302,150302,0.9677618428896512,0.7515272862141769,0.7682284870798572,0.9588627682706486,0.7387304082509585,0.7560823854577536,0.026662863303998318,0.06719449354744304,0.06492483187305843,20448909.71243798,21134100.3773431,21080970.624666613
ZA,1200,1199,0.9601181592892456,0.7406849478882578,0.7640609364174694,0.9448586288141374,0.7273296662344342,0.7516964322262887,0.029330722585773728,0.06522332298428117,0.062240841599811546,172437.98712873613,175412.97708851143,174883.40140628183
